trip_id,arrival_time,departure_time,stop_id,stop_sequence
Orange_O-1_RAIL_WD_DN,06:01:37,06:02:05,O02,2
Orange_O-1_RAIL_WD_DN,06:03:35,06:04:04,O03,3
Orange_O-1_RAIL_WD_DN,06:05:47,06:06:16,O04,4
Orange_O-1_RAIL_WD_DN,06:09:23,06:09:56,O05,5
Orange_O-1_RAIL_WD_DN,06:13:24,06:13:57,O06,6
Orange_O-1_RAIL_WD_DN,06:16:13,06:16:51,O07,7
Orange_O-1_RAIL_WD_DN,06:18:33,06:19:03,O08,8
Orange_O-1_RAIL_WD_DN,06:20:21,06:20:51,O09,9
Orange_O-1_RAIL_WD_DN,06:22:27,06:22:57,O10,10
Orange_O-1_RAIL_WD_DN,06:24:09,06:24:42,O11,11
Orange_O-1_RAIL_WD_DN,06:25:54,06:26:20,O12,12
Orange_O-1_RAIL_WD_DN,06:28:27,06:28:52,O13,13
Orange_O-1_RAIL_WD_DN,06:30:29,06:30:54,O14,14
Orange_O-1_RAIL_WD_DN,06:32:18,06:32:43,O15,15
Orange_O-1_RAIL_WD_DN,06:35:05,06:35:30,O16,16
Orange_O-1_RAIL_WD_DN,06:37:18,06:37:43,O17,17
Orange_O-1_RAIL_WD_DN,06:39:17,06:39:42,O18,18
Orange_O-1_RAIL_WD_DN,06:41:59,06:42:24,O19,19
Orange_O-1_RAIL_WD_DN,06:44:17,06:44:42,O20,20
Orange_O-1_RAIL_WD_DN,06:47:30,06:47:30,O21,21
Orange_O-1_RAIL_HD_UP,06:00:00,06:00:00,O21,1
Orange_O-1_RAIL_HD_UP,06:02:48,06:02:48,O20,2
Orange_O-1_RAIL_HD_UP,06:04:41,06:05:06,O19,3
Orange_O-1_RAIL_HD_UP,06:07:23,06:07:48,O18,4
Orange_O-1_RAIL_HD_UP,06:09:22,06:09:47,O17,5
Orange_O-1_RAIL_HD_UP,06:11:35,06:12:00,O16,6
Orange_O-1_RAIL_HD_UP,06:14:22,06:14:47,O15,7
Orange_O-1_RAIL_HD_UP,06:16:11,06:16:36,O14,8
Orange_O-1_RAIL_HD_UP,06:18:13,06:18:38,O13,9
Orange_O-1_RAIL_HD_UP,06:20:45,06:21:10,O12,10
Orange_O-1_RAIL_HD_UP,06:22:22,06:22:48,O11,11
Orange_O-1_RAIL_HD_UP,06:24:00,06:24:33,O10,12
Orange_O-1_RAIL_HD_UP,06:26:09,06:26:39,O09,13
Orange_O-1_RAIL_HD_UP,06:27:57,06:28:27,O08,14
Orange_O-1_RAIL_HD_UP,06:30:09,06:30:39,O07,15
Orange_O-1_RAIL_HD_UP,06:32:55,06:33:33,O06,16
Orange_O-1_RAIL_HD_UP,06:37:01,06:37:34,O05,17
Orange_O-1_RAIL_HD_UP,06:40:41,06:41:14,O04,18
Orange_O-1_RAIL_HD_UP,06:42:57,06:43:26,O03,19
Orange_O-1_RAIL_HD_UP,06:44:56,06:45:25,O02,20
Orange_O-1_RAIL_HD_UP,06:47:02,06:47:30,O01,21
Orange_O-1_RAIL_HD_DN,06:00:00,06:00:00,O01,1
Orange_O-1_RAIL_HD_DN,06:01:37,06:02:05,O02,2
Orange_O-1_RAIL_HD_DN,06:03:35,06:04:04,O03,3
Orange_O-1_RAIL_HD_DN,06:05:47,06:06:16,O04,4
Orange_O-1_RAIL_HD_DN,06:09:23,06:09:56,O05,5
Orange_O-1_RAIL_HD_DN,06:13:24,06:13:57,O06,6
Orange_O-1_RAIL_HD_DN,06:16:13,06:16:51,O07,7
Orange_O-1_RAIL_HD_DN,06:18:33,06:19:03,O08,8
Orange_O-1_RAIL_HD_DN,06:20:21,06:20:51,O09,9
Orange_O-1_RAIL_HD_DN,06:22:27,06:22:57,O10,10
Orange_O-1_RAIL_HD_DN,06:24:09,06:24:42,O11,11
Orange_O-1_RAIL_HD_DN,06:25:54,06:26:20,O12,12
Orange_O-1_RAIL_HD_DN,06:28:27,06:28:52,O13,13
Orange_O-1_RAIL_HD_DN,06:30:29,06:30:54,O14,14
Orange_O-1_RAIL_HD_DN,06:32:18,06:32:43,O15,15
Orange_O-1_RAIL_HD_DN,06:35:05,06:35:30,O16,16
Orange_O-1_RAIL_HD_DN,06:37:18,06:37:43,O17,17
Orange_O-1_RAIL_HD_DN,06:39:17,06:39:42,O18,18
Orange_O-1_RAIL_HD_DN,06:41:59,06:42:24,O19,19
Orange_O-1_RAIL_HD_DN,06:44:17,06:44:42,O20,20
Orange_O-1_RAIL_HD_DN,06:47:30,06:47:30,O21,21
Orange_O-2_RAIL_WD_UP,06:00:00,06:00:00,O54,1
Orange_O-2_RAIL_WD_UP,06:01:51,06:01:51,O53,2
Orange_O-2_RAIL_WD_UP,06:03:23,06:03:48,O52,3
Orange_O-2_RAIL_WD_UP,06:05:10,06:05:35,O51,4
Orange_O-2_RAIL_WD_UP,06:07:22,06:07:47,O50,5
Orange_O-2_RAIL_WD_UP,06:10:18,06:10:43,O12,6
Orange_O-2_RAIL_WD_UP,06:11:55,06:12:21,O11,7
Orange_O-2_RAIL_WD_UP,06:13:33,06:14:06,O10,8
Orange_O-2_RAIL_WD_UP,06:15:42,06:16:12,O09,9
Orange_O-2_RAIL_WD_UP,06:17:30,06:18:00,O08,10
Orange_O-2_RAIL_WD_UP,06:19:42,06:20:12,O07,11
Orange_O-2_RAIL_WD_UP,06:22:28,06:23:06,O06,12
Orange_O-2_RAIL_WD_UP,06:26:34,06:27:07,O05,13
Orange_O-2_RAIL_WD_UP,06:30:14,06:30:47,O04,14
Orange_O-2_RAIL_WD_UP,06:32:30,06:32:59,O03,15
Orange_O-2_RAIL_WD_UP,06:34:29,06:34:58,O02,16
Orange_O-2_RAIL_WD_UP,06:36:35,06:37:03,O01,17
Orange_O-2_RAIL_WD_DN,06:00:00,06:00:00,O01,1
Orange_O-2_RAIL_WD_DN,06:01:37,06:02:05,O02,2
Orange_O-2_RAIL_WD_DN,06:03:35,06:04:04,O03,3
Orange_O-2_RAIL_WD_DN,06:05:47,06:06:16,O04,4
Orange_O-2_RAIL_WD_DN,06:09:23,06:09:56,O05,5
Orange_O-2_RAIL_WD_DN,06:13:24,06:13:57,O06,6
Orange_O-2_RAIL_WD_DN,06:16:13,06:16:51,O07,7
Orange_O-2_RAIL_WD_DN,06:18:33,06:19:03,O08,8
Orange_O-2_RAIL_WD_DN,06:20:21,06:20:51,O09,9
Orange_O-2_RAIL_WD_DN,06:22:27,06:22:57,O10,10
Orange_O-2_RAIL_WD_DN,06:24:09,06:24:42,O11,11
Orange_O-2_RAIL_WD_DN,06:25:54,06:26:20,O12,12
Orange_O-2_RAIL_WD_DN,06:28:51,06:29:16,O50,13
Orange_O-2_RAIL_WD_DN,06:31:03,06:31:28,O51,14
Orange_O-2_RAIL_WD_DN,06:32:50,06:33:15,O52,15
Orange_O-2_RAIL_WD_DN,06:34:47,06:35:12,O53,16
Orange_O-2_RAIL_WD_DN,06:37:03,06:37:03,O54,17
Orange_O-2_RAIL_HD_UP,06:00:00,06:00:00,O54,1
Orange_O-2_RAIL_HD_UP,06:01:51,06:01:51,O53,2
Orange_O-2_RAIL_HD_UP,06:03:23,06:03:48,O52,3
Orange_O-2_RAIL_HD_UP,06:05:10,06:05:35,O51,4
Orange_O-2_RAIL_HD_UP,06:07:22,06:07:47,O50,5
Orange_O-2_RAIL_HD_UP,06:10:18,06:10:43,O12,6
Orange_O-2_RAIL_HD_UP,06:11:55,06:12:21,O11,7
Orange_O-2_RAIL_HD_UP,06:13:33,06:14:06,O10,8
Orange_O-2_RAIL_HD_UP,06:15:42,06:16:12,O09,9
Orange_O-2_RAIL_HD_UP,06:17:30,06:18:00,O08,10
Orange_O-2_RAIL_HD_UP,06:19:42,06:20:12,O07,11
Orange_O-2_RAIL_HD_UP,06:22:28,06:23:06,O06,12
Orange_O-2_RAIL_HD_UP,06:26:34,06:27:07,O05,13
Orange_O-2_RAIL_HD_UP,06:30:14,06:30:47,O04,14
Orange_O-2_RAIL_HD_UP,06:32:30,06:32:59,O03,15
Orange_O-2_RAIL_HD_UP,06:34:29,06:34:58,O02,16
Orange_O-2_RAIL_HD_UP,06:36:35,06:37:03,O01,17
Orange_O-2_RAIL_HD_DN,06:00:00,06:00:00,O01,1
Orange_O-2_RAIL_HD_DN,06:01:37,06:02:05,O02,2
Orange_O-2_RAIL_HD_DN,06:03:35,06:04:04,O03,3
Orange_O-2_RAIL_HD_DN,06:05:47,06:06:16,O04,4
Orange_O-2_RAIL_HD_DN,06:09:23,06:09:56,O05,5
Orange_O-2_RAIL_HD_DN,06:13:24,06:13:57,O06,6
Orange_O-2_RAIL_HD_DN,06:16:13,06:16:51,O07,7
Orange_O-2_RAIL_HD_DN,06:18:33,06:19:03,O08,8
Orange_O-2_RAIL_HD_DN,06:20:21,06:20:51,O09,9
Orange_O-2_RAIL_HD_DN,06:22:27,06:22:57,O10,10
Orange_O-2_RAIL_HD_DN,06:24:09,06:24:42,O11,11
Orange_O-2_RAIL_HD_DN,06:25:54,06:26:20,O12,12
Orange_O-2_RAIL_HD_DN,06:28:51,06:29:16,O50,13
Orange_O-2_RAIL_HD_DN,06:31:03,06:31:28,O51,14
Orange_O-2_RAIL_HD_DN,06:32:50,06:33:15,O52,15
Orange_O-2_RAIL_HD_DN,06:34:47,06:35:12,O53,16
Orange_O-2_RAIL_HD_DN,06:37:03,06:37:03,O54,17
Red_R-1_RAIL_WD_UP,06:00:00,06:00:00,R28,1
Red_R-1_RAIL_WD_UP,06:02:55,06:02:55,R27,2
Red_R-1_RAIL_WD_UP,06:05:13,06:05:38,R26,3
Red_R-1_RAIL_WD_UP,06:08:06,06:08:31,R25,4
